Treatment,Num.Zoox
Light,395
Light,35
Light,276
Light,40
Light,0
Light,1317
Light,0
Light,7
Light,0
Light,5
Light,1002
Light,10
Light,471
Light,0
Warm,2136
Warm,1902
Warm,810
Warm,958
Cool,1431
Cool,2244
Cool,1409
Cool,742
Ambient,2212
Ambient,2075
Ambient,1559
Ambient,1684
Ambient,544
