Treatment,Days,Cell.counts
Ambient,1,1109
Warm,1,1109
Hot,1,1109
Hotest,1,1109
Ambient,20,2158.2
Warm,20,1775.6
Hot,20,1153.5
Hotest,20,947.8333333
